#OTU ID	984N2	948N2	954P	973P2	981P	985P	951N	962P	706C	970P2	947N2	952P2	971P2	948N	978P2	922C2	739N	921C2	950N2	742P	701C	702C	919C	980N	960N2	920C	960N	988P2	972P	923C	705C	929C2	947N	958P2	922C	953P	706C2	918C	742P2	702C2	950N	990P2	737P	926C2	927C2	735P2	741P	732N2	990P	970P	975N	967N	917C	958P	739N2	971P	983N2	743P	983N	957P2	928C	740P	985P2	988P	918C2	924C	929C	951N2	987P	949N2	923C2	963P	916C2	982N	972P2	701C2	949N	966N	963P2	979N2	955N2	926C	952P	925C2	924C2	732N	921C	705C2	956N	986N	736N	741P2	928C2	956N2	930C	989N	736N2	986N2	919C2	981P2	955N	925C	962P2	734N	957P	978P	737P2	744P2	975N2	927C	973P	744P	989N2	735P	954P2	953P2	916C	984N
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1501	685	1961	596	8058	1916	2402	1137	2783	3170	2088	2441	2482	1009	4111	2854	1651	862	445	1412	856	1866	3254	1014	5018	5488	1921	1413	2560	7985	577	1129	2578	2213	1201	5142	1406	1952	2850	665	2539	3704	3016	1428	702	2591	3139	2141	1131	3314	2691	1715	1261	1337	1363	4131	29	2953	7386	2693	1216	2932	2837	6474	2631	1418	2394	1002	1983	3796	6094	2820	14	125	5395	1489	1736	2885	2377	6638	1475	2136	3058	2042	950	2662	810	1930	1349	6604	2175	1848	1154	1668	1731	15819	658	5264	6597	3656	1509	1783	3101	2338	1900	8786	2155	25	1069	1976	1541	5239	1062	2493	439	3019	882	1316
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae;g__Sutterella	370	44	102	57	2	0	10	46	428	2	62	86	55	54	886	15	0	9	4	62	1018	97	9	0	4	255	0	3	0	0	678	89	49	0	2	165	56	126	90	131	303	2	326	7	126	5	2	6	9	0	92	180	0	0	2	55	2	623	0	219	194	15	157	3	63	260	92	0	0	167	2	82	0	0	0	182	238	13	333	2	49	11	112	0	20	2	8	431	34	139	42	4	110	76	113	14	20	160	8	0	37	0	113	20	258	2066	707	0	51	365	286	2	0	0	56	58	45	40
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Paraprevotella	327	6	0	0	0	0	5	0	0	0	3	2	0	0	0	0	0	454	0	0	0	0	0	0	4	3	0	0	0	3	234	82	3	0	0	0	0	0	0	0	0	0	115	0	0	814	0	0	12	0	0	0	0	2	7	0	0	0	0	461	229	0	0	15	2	0	112	0	0	0	0	188	0	0	2	0	0	0	583	0	0	3	0	0	0	0	333	38	0	0	0	0	0	0	0	2	0	0	2	0	2	0	0	0	146	0	65	0	0	0	0	2	0	479	0	0	0	19
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	447	24	11	22	2	4	6	88	17	8	189	7	4	133	0	245	16	39	2	9	22	19	103	13	6	2	0	2	2	3	22	748	44	0	45	223	61	0	31	11	8	165	760	13	366	23	20	276	448	27	7	5	0	0	48	0	0	60	1854	7	19	144	325	5	0	13	85	2	122	461	4	57	0	4	26	0	1381	26	16	9	120	27	234	2	25	15	8	64	82	18	20	124	69	76	0	5	29	58	6	4	13	0	18	87	3	0	345	0	56	24	17	1239	0	15	332	5	6	263
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter	189	46	58	38	2	23	373	99	24	1373	172	5	111	195	435	479	10	416	3	29	142	77	317	0	4	76	2	131	208	292	72	5	957	257	31	81	398	41	365	302	35	0	12	34	38	181	89	24	21	91	2412	123	180	149	95	43	4	780	1322	61	251	24	0	46	173	0	79	471	238	0	326	265	2	14	276	0	0	570	66	251	0	1	233	1100	0	198	347	303	2	74	102	2125	351	4	303	35	75	0	407	0	12	41	860	453	55	885	38	0	984	107	88	250	0	0	101	8	23	11
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium	320	94	1859	223	9	761	220	243	66	350	135	750	656	829	400	321	295	920	263	365	824	157	388	366	86	877	22	328	171	299	1261	394	127	686	166	513	282	1693	472	324	901	9	228	463	357	187	41	107	54	1541	543	1104	460	705	427	1260	4	272	3160	893	1820	356	545	475	796	1064	1074	224	506	347	505	242	0	62	737	690	504	548	1310	577	252	653	563	432	297	51	138	932	421	101	4	109	989	352	12	2081	7	470	1539	17	253	341	406	391	2392	809	349	0	139	1266	524	93	131	2779	312	709	1498	408
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Subdoligranulum	70	26	64	48	0	36	72	49	5	225	25	15	260	59	102	747	29	30	189	114	28	21	243	50	2	43	0	59	12	15	28	29	59	46	177	127	2	17	118	55	388	2	270	108	115	84	244	90	6	223	8	29	14	82	20	4	0	29	222	14	18	76	62	21	38	9	97	96	67	65	10	133	0	2	11	110	105	31	12	141	0	62	41	92	103	76	25	17	212	98	60	127	64	122	0	1413	37	164	642	0	2	9	146	11	39	91	345	0	23	37	97	67	26	1	95	99	0	33
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Butyricicoccus	194	21	16	29	28	4	36	7	4	21	80	42	7	109	66	48	26	7	15	18	25	13	18	12	44	91	26	14	76	20	24	67	34	2	14	8	48	0	29	28	64	0	103	146	59	20	6	8	4	7	44	15	6	0	33	0	0	9	969	38	16	24	49	17	2	14	26	21	7	58	184	30	0	2	442	32	57	57	12	32	9	115	63	29	70	6	13	24	0	0	62	24	13	7	7	28	40	4	29	2	3	6	32	32	6	26	148	0	22	4	22	35	0	12	42	0	2	71
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__uncultured;g__uncultured	127	14	0	0	0	0	13	18	25	100	0	2	5	728	2	6302	0	2	0	43	4	0	9	3	2	0	2	5	2	0	0	2	9	0	1641	33	20	0	277	0	4	0	194	6	8	51	0	3	0	9	2	2	0	0	0	2	0	0	4	0	26	0	0	4	2	7	0	2	213	2	2	101	0	5	2	2	2	0	34	6	0	10	5	6	5	0	0	6	41	25	0	16	3	31	0	34	0	0	3	2	0	61	2	0	0	2	124	0	0	2	0	0	0	78	8	0	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes	85	11	22	43	75	16	30	33	3	133	62	142	132	21	78	48	10	13	36	25	46	20	35	27	24	33	27	91	26	58	3	64	338	18	5	67	132	3	74	19	104	93	43	67	45	44	20	44	57	5	43	31	11	8	29	2	0	22	236	12	14	20	59	56	18	4	74	21	13	59	165	43	2	0	217	73	74	19	48	62	60	20	95	5	114	6	20	37	42	101	24	135	28	11	16	16	32	109	28	4	167	0	216	31	4	98	55	0	43	11	11	66	0	0	109	30	0	111
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_hallii_group	94	0	28	11	28	19	96	27	7	47	78	36	6	31	67	42	13	24	93	43	10	14	48	45	82	65	34	42	39	106	2	41	78	2	4	18	127	1	26	36	72	24	49	63	43	57	51	0	11	5	85	111	0	0	20	0	0	35	209	5	4	57	55	54	35	12	51	40	14	48	94	61	0	14	184	11	84	7	17	39	0	106	13	13	49	0	7	7	48	38	0	94	27	45	14	9	8	92	60	0	0	0	82	49	0	114	124	0	35	5	12	0	0	0	44	47	0	48
d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	73	0	28	14	0	29	12	10	17	49	53	142	19	144	0	70	38	15	28	21	0	8	137	19	0	30	2	75	18	8	4	58	56	26	14	39	184	6	19	9	121	22	342	75	155	36	14	30	12	22	20	4	4	86	23	0	0	7	93	12	12	56	50	68	0	2	40	21	11	71	19	25	0	0	359	0	322	25	73	73	0	49	170	45	25	14	18	8	10	2	23	18	26	7	4	4	18	60	15	0	0	0	44	175	10	2	323	0	9	10	10	13	0	10	24	193	0	7
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_xylanophilum_group	32	0	4	0	0	0	0	8	0	24	0	0	2	44	0	54	7	12	2	11	2	9	22	0	0	2	0	0	4	2	0	99	0	45	8	15	0	0	10	0	0	0	0	68	0	32	4	0	0	36	0	0	0	249	5	0	0	2	17	2	9	15	22	0	0	4	17	0	0	38	0	0	0	0	0	2	31	0	0	39	0	7	21	0	36	0	2	0	5	0	0	4	33	15	0	2	0	11	13	0	0	0	35	40	0	0	0	0	0	2	0	0	0	4	8	19	0	0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_ND3007_group	16	0	5	15	0	4	9	15	2	20	0	30	13	52	0	0	12	8	2	20	1	11	240	0	0	9	0	27	0	19	3	27	2	0	0	3	16	0	8	17	10	0	4	60	71	0	6	2	0	7	2	5	0	0	14	0	0	7	0	7	6	46	14	27	0	22	8	10	4	15	17	26	0	0	0	70	22	31	13	7	0	30	3	20	16	0	10	5	30	0	0	11	12	19	4	4	0	2	14	0	0	7	30	19	2	0	2	0	0	2	10	0	0	0	8	0	0	24
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-56	72	0	7	18	0	0	0	20	6	4	28	33	2	1	2	2	4	0	7	60	2	4	0	0	2	0	0	0	0	0	0	0	72	0	0	25	35	0	167	10	68	0	0	27	10	2	0	0	0	5	0	2	17	0	35	0	0	0	49	2	3	33	15	0	0	16	5	0	0	32	0	0	0	0	0	0	38	42	0	0	0	14	0	0	11	0	3	0	22	0	0	0	12	21	0	0	0	0	0	0	0	0	42	0	6	0	0	0	0	6	6	0	0	0	20	13	0	122
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	63	17	31	51	122	41	173	31	9	162	73	64	2	21	26	61	39	32	44	52	0	8	4	113	277	30	123	80	27	35	12	20	100	5	14	59	871	18	64	70	292	19	15	38	77	7	37	9	8	6	73	28	17	5	64	0	0	21	55	13	30	44	49	86	25	34	45	39	2	44	73	91	0	202	250	85	33	176	21	6	19	45	58	46	112	0	48	31	84	22	44	30	19	27	5	147	49	54	51	218	69	8	52	91	5	19	18	0	19	7	11	46	15	6	276	75	0	71
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	110	58	184	310	8	2	727	261	3322	209	86	100	576	752	177	546	149	188	119	313	20	71	322	93	160	387	114	65	404	191	154	147	263	791	389	24	1186	283	402	155	368	190	215	123	87	144	254	293	104	831	711	101	473	631	69	581	0	373	1011	64	418	0	145	172	280	142	689	246	222	153	49	189	0	7	561	2	53	84	328	81	199	155	183	474	142	280	142	588	127	883	752	234	520	105	79	51	397	664	632	2	256	62	546	361	215	555	303	0	145	833	392	227	0	923	118	10	570	47
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Ruminococcus]_torques_group	30	6	40	14	1	24	2	18	6	18	13	56	9	53	11	13	5	7	17	16	9	4	207	7	0	16	0	13	94	90	35	26	65	20	5	10	195	5	16	10	47	7	24	10	35	13	46	127	13	10	17	31	4	10	2	0	0	5	122	10	18	34	33	6	44	8	50	0	8	26	63	42	0	9	188	8	26	39	15	30	0	19	56	32	30	30	17	54	12	17	2	18	6	26	9	40	2	61	323	0	0	46	38	50	0	89	11	0	10	35	17	4	2	7	80	0	0	165
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-010	36	0	15	4	0	15	0	0	0	2	42	0	0	0	0	41	0	10	6	4	0	3	25	3	0	0	0	13	2	0	6	12	7	21	21	4	3	6	40	5	64	0	37	0	10	14	0	6	0	0	54	3	4	24	10	0	0	0	0	13	2	39	80	10	14	0	14	0	4	42	2	2	0	2	2	0	31	19	0	28	0	0	0	6	0	44	6	42	2	0	0	10	30	8	0	0	0	2	50	0	0	0	4	5	10	2	59	0	14	3	4	9	0	0	19	20	0	14
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__[Eubacterium]_eligens_group	20	0	19	21	18	56	9	21	16	20	0	43	12	17	10	69	27	32	0	61	0	18	4	0	0	8	0	0	2	2	2	107	0	0	10	20	10	0	87	20	89	0	0	36	85	4	5	0	0	50	0	2	0	0	27	19	0	6	215	7	12	5	20	0	2	0	137	123	25	23	0	0	0	0	36	0	52	39	0	49	0	35	3	53	6	2	9	13	6	0	41	6	0	4	0	2	14	0	8	0	0	150	39	0	20	6	0	0	0	5	39	0	0	4	14	15	14	2
d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__UCG-003	71	7	88	2	2	16	10	28	0	8	16	17	29	0	2	214	34	24	63	8	2	19	40	9	2	53	0	6	0	0	223	15	5	34	39	0	0	72	39	28	17	0	0	45	15	0	2	0	0	16	24	0	7	79	26	7	0	0	0	55	70	41	9	68	22	6	60	7	4	17	0	20	0	0	0	0	20	56	20	27	0	18	74	0	7	0	8	196	3	0	0	0	107	7	0	222	0	0	135	0	0	0	32	10	71	0	0	0	15	38	17	0	12	2	19	0	0	16
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes	75	43	203	214	0	314	153	435	289	103	315	45	158	64	226	1224	61	141	237	46	19	75	178	514	59	30	67	8	145	8	127	136	83	99	497	178	308	182	132	71	538	74	47	669	28	800	1326	127	63	190	142	112	161	192	144	43	0	22	195	96	147	357	216	122	232	34	116	121	218	291	8	141	0	8	80	3	54	0	247	812	7	899	239	36	121	133	170	366	233	229	0	78	80	128	6	23	8	106	899	0	11	80	701	475	50	92	82	0	52	77	111	390	0	1240	52	71	157	29
d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospiraceae_UCG-004	41	9	16	4	2	15	7	8	0	13	10	60	11	44	19	32	13	12	6	18	0	10	51	8	137	45	85	7	29	7	9	41	7	2	7	76	2	4	15	8	50	0	69	35	29	21	3	11	0	29	7	2	15	0	23	1	0	31	427	12	4	30	26	18	18	12	8	10	34	35	42	32	0	338	107	0	98	22	19	11	3	47	30	23	28	24	10	54	0	18	43	13	24	2	2	417	32	77	18	2	13	14	32	23	12	11	32	0	8	10	16	21	22	6	27	100	0	52
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus	39	12	8	7	51	10	290	27	0	7	7	9	11	17	18	27	6	4	9	53	54	6	52	9	16	14	84	11	16	13	12	15	39	14	0	16	96	0	98	18	34	12	285	15	23	29	4	10	21	4	31	14	4	6	45	8	0	10	577	2	7	51	47	10	38	37	11	0	2	43	26	233	0	11	9	25	31	14	7	33	12	26	80	5	311	0	6	18	67	2	4	8	0	11	0	73	12	6	5	30	83	6	24	95	2	49	4	0	39	12	3	30	41	0	33	18	2	40
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Barnesiellaceae;g__Barnesiella	18	2	0	263	0	0	378	29	4	130	0	24	0	0	274	3	24	52	251	92	0	6	0	0	0	0	0	0	0	2	0	0	0	0	2	0	2	0	176	30	319	0	76	2	34	0	288	0	5	156	131	2	0	0	87	2	0	0	2	124	24	89	3	2	2	73	0	255	45	2	0	57	0	2	0	2	4	2	273	319	16	0	43	46	217	0	54	0	36	244	0	47	293	19	0	11	4	306	5	0	14	0	66	0	32	400	31	0	153	99	128	0	0	2	0	0	0	4
