taxon_oid,Domain,Sequencing.Status,Study.Name,Genome.Name_Sample.Name,Sequencing.Center,IMG.Genome.ID.,Genome.Size...*.assembled,Gene.Count...*.assembled,Check_ID,Site,Latitude,Longitude,Date,Type,Bison,Prescribed.Fire.Current.Year,Most.Recent.Fire.Date,Time.since.fire.months,Restoration.Age,samplename,archaea,bacteria,fungi,archaea_initial,bacteria_initial,fungi_initial
3300036397,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MU_050217",DOE Joint Genome Institute (JGI),3300036397,149575325,442712,TRUE,MU,41.87859,-89.35635,50217,restoration,y,n,3/21/16,13,30,MU_050217,421,233917,236,561,236389,623
3300036585,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - CCW_080817",DOE Joint Genome Institute (JGI),3300036585,232586505,681820,TRUE,CCW,41.9042,-89.33205,80817,restoration,n,n,3/29/13,52,9,CCW_080817,715,347435,307,894,351541,507
3300037350,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HF_050217",DOE Joint Genome Institute (JGI),3300037350,448208787,1244035,TRUE,HF,41.90024,-89.35253,50217,restoration,y,y,2/21/17,2,4,HF_050217,3190,646363,819,3510,653404,1381
3300037392,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HF_080817",DOE Joint Genome Institute (JGI),3300037392,440322793,1269326,TRUE,HF,41.90024,-89.35253,80817,restoration,y,y,2/21/17,6,4,HF_080817,631,670798,1589,894,678417,2442
3300037393,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HF_101317",DOE Joint Genome Institute (JGI),3300037393,626162677,1700058,TRUE,HF,41.90024,-89.35253,101317,restoration,y,y,2/21/17,8,4,HF_101317,901,927558,905,1281,937197,1648
3300037429,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HLP_080817",DOE Joint Genome Institute (JGI),3300037429,356831586,911749,TRUE,HLP,41.89599,-89.36178,80817,restoration,y,n,3/21/16,17,17,HLP_080817,802,451060,347,1105,455995,1120
3300037430,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HLP_101317",DOE Joint Genome Institute (JGI),3300037430,335193824,931313,TRUE,HLP,41.89599,-89.36178,101317,restoration,y,n,3/21/16,19,17,HLP_101317,890,501735,1698,1150,506486,5602
3300037431,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - WH_050217",DOE Joint Genome Institute (JGI),3300037431,321875089,861264,TRUE,WH,41.87309,-89.35733,50217,restoration,y,y,3/19/17,1,25,WH_050217,494,483348,810,680,487965,2188
3300037432,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - WH_101317",DOE Joint Genome Institute (JGI),3300037432,313817433,864404,TRUE,WH,41.87309,-89.35733,101317,restoration,y,y,3/19/17,7,25,WH_101317,581,469284,3786,824,473435,11565
3300037445,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HN_080817",DOE Joint Genome Institute (JGI),3300037445,363606299,951690,TRUE,HN,41.89985,-89.36222,80817,restoration,y,y,2/21/17,6,5,HN_080817,538,493571,2438,762,498512,3334
3300037446,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HLP_050217",DOE Joint Genome Institute (JGI),3300037446,299782019,759053,TRUE,HLP,41.89599,-89.36178,50217,restoration,y,n,3/21/16,13,17,HLP_050217,671,398387,137,855,405431,278
3300037447,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - WH_080817",DOE Joint Genome Institute (JGI),3300037447,316803925,861230,TRUE,WH,41.87309,-89.35733,80817,restoration,y,y,3/19/17,5,25,WH_080817,523,486904,1253,756,490946,3083
3300037448,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MU_080817",DOE Joint Genome Institute (JGI),3300037448,440598287,1214875,TRUE,MU,41.87859,-89.35635,80817,restoration,y,n,3/21/16,17,30,MU_080817,1238,601455,884,1645,608013,2597
3300037475,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HN_050217",DOE Joint Genome Institute (JGI),3300037475,933954480,2182226,TRUE,HN,41.89985,-89.36222,50217,restoration,y,y,2/21/17,2,5,HN_050217,979,1176190,1594,1368,1191283,2511
3300037476,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - CCW_050217",DOE Joint Genome Institute (JGI),3300037476,781313183,2104522,TRUE,CCW,41.9042,-89.33205,50217,restoration,n,n,3/29/13,49,9,CCW_050217,3445,1010143,726,4063,1023774,1343
3300037477,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - CCW_101317",DOE Joint Genome Institute (JGI),3300037477,726044347,1918771,TRUE,CCW,41.9042,-89.33205,101317,restoration,n,n,3/29/13,55,9,CCW_101317,2459,1027822,715,2996,1037788,1508
3300037571,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - SOY_050217",DOE Joint Genome Institute (JGI),3300037571,243343502,736807,TRUE,SOY,41.8827,-89.32172,50217,agriculture,n,n,NA,NA,NA,SOY_050217,2937,358740,145,3258,363954,285
3300037609,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - HN_101317",DOE Joint Genome Institute (JGI),3300037609,312111444,826781,TRUE,HN,41.89985,-89.36222,101317,restoration,y,y,2/21/17,8,5,HN_101317,474,438190,575,636,442751,1116
3300037618,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MU_101317",DOE Joint Genome Institute (JGI),3300037618,249321353,696466,TRUE,MU,41.87859,-89.35635,101317,restoration,y,n,3/21/16,19,30,MU_101317,876,381773,263,1101,387373,966
3300037864,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - SOY_080817",DOE Joint Genome Institute (JGI),3300037864,154755314,477202,TRUE,SOY,41.8827,-89.32172,80817,agriculture,n,n,NA,NA,NA,SOY_080817,4939,266356,187,5120,269054,295
3300037865,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - SOY_101317",DOE Joint Genome Institute (JGI),3300037865,217133261,653236,TRUE,SOY,41.8827,-89.32172,101317,agriculture,n,n,NA,NA,NA,SOY_101317,3513,344230,94,3840,348063,227
3300037869,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - AG_101317",DOE Joint Genome Institute (JGI),3300037869,209012182,632610,TRUE,AG,41.89232,-89.30632,101317,agriculture,n,n,NA,NA,NA,AG_101317,825,349876,156,1028,353423,318
3300049562,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MR_050217",DOE Joint Genome Institute (JGI),3300049562,591215846,1521913,TRUE,MR,41.87809,-89.34404,50217,remnant,y,y,2/21/17,2,NA,MR_050217,955,850683,232,1415,857679,628
3300049563,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - TCR_050217",DOE Joint Genome Institute (JGI),3300049563,619666661,1479487,TRUE,TCR,41.88585,-89.32385,50217,remnant,n,n,11/25/13,38,NA,TCR_050217,5318,814951,188,5742,821834,454
3300049564,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - TCR_080817",DOE Joint Genome Institute (JGI),3300049564,896660582,2056143,TRUE,TCR,41.88585,-89.32385,80817,remnant,n,n,11/25/13,41,NA,TCR_080817,4228,1106594,393,4814,1117118,1315
3300049565,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - TCR_101317",DOE Joint Genome Institute (JGI),3300049565,575975031,1392306,TRUE,TCR,41.88585,-89.32385,101317,remnant,n,n,11/25/13,43,NA,TCR_101317,4827,772962,255,5205,778986,678
3300049566,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - AG_050217",,3300049566,344269171,985922,TRUE,AG,41.89232,-89.30632,50217,agriculture,n,n,NA,NA,NA,AG_050217,2781,537604,189,3179,543111,375
3300049567,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - AG_080817",,3300049567,595571958,1652447,TRUE,AG,41.89232,-89.30632,80817,agriculture,n,n,NA,NA,NA,AG_080817,8720,928737,597,9204,937392,1187
3300049809,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MR_080817",DOE Joint Genome Institute (JGI),3300049809,860519808,2194785,TRUE,MR,41.87809,-89.34404,80817,remnant,y,y,2/21/17,6,NA,MR_080817,1602,1206817,720,2267,1216635,1744
3300049998,*Microbiome,Permanent Draft,"Soil microbial communities from Nachusa Grasslands, Illinois, United States","Soil microbial communities from Nachusa Grasslands, Illinois, United States - MR_101317",DOE Joint Genome Institute (JGI),3300049998,435079785,1134413,TRUE,MR,41.87809,-89.34404,101317,remnant,y,y,2/21/17,8,NA,MR_101317,1785,640392,248,2157,645586,720
